Number Of K,iteration,accuracy,train-time,test-time
1,0,87.85205294,0.015708923,0.89051795
1,1,87.85205294,0.015762091,0.922083855
1,2,87.85205294,0.015217066,0.906294107
1,3,87.85205294,0.015699863,0.937546015
1,4,87.85205294,0.015685081,0.984159946
1,5,87.85205294,0.015712976,1.124875069
1,6,87.85205294,0.01572299,0.937821865
1,7,87.85205294,0.015252113,0.90632391
1,8,87.85205294,0.015700102,0.890740871
1,9,87.85205294,0.015712976,0.905909061
3,0,89.0736342,0,0.984425068
3,1,89.0736342,0,1.062263966
3,2,89.0736342,0.01570797,1.078376055
3,3,89.0736342,0.015740871,0.984186172
3,4,89.0736342,0.015734911,1.109198093
3,5,89.0736342,0,0.999980211
3,6,89.0736342,0,1.03112483
3,7,89.0736342,0.015722036,0.984276056
3,8,89.0736342,0.015691042,0.984572887
3,9,89.0736342,0.015689135,0.968680859
5,0,90.15948422,0.015687943,0.970127106
5,1,90.15948422,0.014214993,0.968969107
5,2,90.15948422,0,1.01540184
5,3,90.15948422,0.015274048,0.969079971
5,4,90.15948422,0.015241146,1.000336885
5,5,90.15948422,0.015689135,0.968371868
5,6,90.15948422,0,0.969021797
5,7,90.15948422,0.015704155,0.983999968
5,8,90.15948422,0.015707016,1.000144005
5,9,90.15948422,0.015717983,0.983988047
7,0,90.32914829,0.015697002,1.031393051
7,1,90.32914829,0.01571393,1.031282902
7,2,90.32914829,0.015714169,1.046718836
7,3,90.32914829,0.015683174,0.96883893
7,4,90.32914829,0.015281916,0.984732151
7,5,90.32914829,0,1.030797958
7,6,90.32914829,0.01570797,0.953469038
7,7,90.32914829,0.015256882,0.968791008
7,8,90.32914829,0,1.062459946
7,9,90.32914829,0.015703201,1.015620947
9,0,90.53274516,0.015697002,1.04693985
9,1,90.53274516,0.015709162,0.968682051
9,2,90.53274516,0,1.01543498
9,3,90.53274516,0.015725851,1.015403032
9,4,90.53274516,0.015691996,1.078034163
9,5,90.53274516,0.015708923,0.984241962
9,6,90.53274516,0,1.062657118
9,7,90.53274516,0.015759945,1.046550989
9,8,90.53274516,0.041599035,0.97438693
9,9,90.53274516,0.01575613,0.968521833
11,0,90.46487954,0,0.968805075
11,1,90.46487954,0,1.093495846
11,2,90.46487954,0.015706062,1.015792131
11,3,90.46487954,0.015211821,0.953356981
11,4,90.46487954,0.015712023,1.062348127
11,5,90.46487954,0.015702963,0.99980402
11,6,90.46487954,0.015706062,0.96881485
11,7,90.46487954,0.015704155,0.968551874
11,8,90.46487954,0,1.015843153
11,9,90.46487954,0.015726805,0.96866107
13,0,90.6345436,0.015719891,1.031151056
13,1,90.6345436,0.015697956,0.952964067
13,2,90.6345436,0,1.015555143
13,3,90.6345436,0.015747786,0.984381199
13,4,90.6345436,0,0.999950886
13,5,90.6345436,0.015722036,1.015577078
13,6,90.6345436,0.015700817,0.984086037
13,7,90.6345436,0.015716076,1.047139883
13,8,90.6345436,0.015258074,1.172069073
13,9,90.6345436,0.015687943,1.077899933
15,0,90.43094673,0.015691042,1.06272912
15,1,90.43094673,0.015221834,1.047132969
15,2,90.43094673,0.015714169,1.015539885
15,3,90.43094673,0.015696049,0.968836069
15,4,90.43094673,0.015256882,0.984334946
15,5,90.43094673,0.015720129,1.000313997
15,6,90.43094673,0,1.065036058
15,7,90.43094673,0.015733957,1.015662909
15,8,90.43094673,0.015215158,1.000383854
15,9,90.43094673,0,1.078029871
17,0,90.53274516,0.015719175,1.077781916
17,1,90.53274516,0.015716076,1.015446901
17,2,90.53274516,0.015775919,1.078233004
17,3,90.53274516,0,0.968374968
17,4,90.53274516,0.015766144,1.015937805
17,5,90.53274516,0.015206099,0.968743086
17,6,90.53274516,0.015719891,0.953293085
17,7,90.53274516,0.015718937,1.01531601
17,8,90.53274516,0,1.031326056
17,9,90.53274516,0.01571393,1.00007987
19,0,90.60061079,0.015720129,1.030879974
19,1,90.60061079,0.015697002,1.047702074
19,2,90.60061079,0,0.984736919
19,3,90.60061079,0.015187025,1.015856981
19,4,90.60061079,0.015724897,1.093473196
19,5,90.60061079,0,1.078239918
19,6,90.60061079,0.015698195,0.937510967
19,7,90.60061079,0.015825987,0.968600035
19,8,90.60061079,0.015625954,1.062543869
19,9,90.60061079,0.015230179,1.047288895
21,0,90.46487954,0.015212059,0.953402996
21,1,90.46487954,0,1.062125921
21,2,90.46487954,0.015682936,1.031533003
21,3,90.46487954,0.016108036,1.061676979
21,4,90.46487954,0,1.109534979
21,5,90.46487954,0.015715122,1.124891043
21,6,90.46487954,0.015677929,0.999748945
21,7,90.46487954,0.015716076,0.984441996
21,8,90.46487954,0.015701056,1.031093836
21,9,90.46487954,0,1.015880108
23,0,90.39701391,0.015256882,1.031468153
23,1,90.39701391,0.015702963,1.000030041
23,2,90.39701391,0.015744925,1.046715975
23,3,90.39701391,0.01571393,1.203077078
23,4,90.39701391,0,1.077803135
23,5,90.39701391,0.015750885,1.046751976
23,6,90.39701391,0.015814066,1.078165054
23,7,90.39701391,0.015685797,0.999893188
23,8,90.39701391,0.015724897,1.015733004
23,9,90.39701391,0.015201092,1.016033888
25,0,90.26128266,0,1.234115124
25,1,90.26128266,0.01571703,1.109146833
25,2,90.26128266,0.015799046,1.093636036
25,3,90.26128266,0.015691042,1.125069857
25,4,90.26128266,0,1.078307152
25,5,90.26128266,0.015235901,1.031618118
25,6,90.26128266,0,0.984227896
25,7,90.26128266,0,1.062660933
25,8,90.26128266,0.015710115,1.015476942
25,9,90.26128266,0.015697002,0.98438096
27,0,89.92195453,0.015218973,1.015917063
27,1,89.92195453,0.015696049,1.000026941
27,2,89.92195453,0.015208006,1.062739134
27,3,89.92195453,0,0.984291792
27,4,89.92195453,0,1.109201193
27,5,89.92195453,0,1.047212124
27,6,89.92195453,0,1.062366962
27,7,89.92195453,0.01572299,1.155877829
27,8,89.92195453,0.015754223,1.000060797
27,9,89.92195453,0,1.015423059
29,0,89.71835765,0,1.015648127
29,1,89.71835765,0.015724897,0.999860048
29,2,89.71835765,0.015693903,0.999766111
29,3,89.71835765,0.015724897,1.109569073
29,4,89.71835765,0.015223026,0.953336954
29,5,89.71835765,0.01572299,0.95303297
29,6,89.71835765,0.01571703,1.093362093
29,7,89.71835765,0.01569891,1.031390905
29,8,89.71835765,0,0.968686104
29,9,89.71835765,0,1.144619942
31,0,90.0916186,0,1.030935049
31,1,90.0916186,0.015761137,1.140451908
31,2,90.0916186,0.015712023,0.984442949
31,3,90.0916186,0.015727043,0.968544006
31,4,90.0916186,0.015706062,1.093772888
31,5,90.0916186,0.015712023,0.984010935
31,6,90.0916186,0.015724182,1.000022888
31,7,90.0916186,0.015726089,1.015414953
31,8,90.0916186,0,1.06231904
31,9,90.0916186,0,1.046994925
33,0,89.71835765,0,1.109359026
33,1,89.71835765,0,1.031076908
33,2,89.71835765,0,1.046796083
33,3,89.71835765,0.015727997,1.124814987
